target_month,run_date,proj_level,proj_yoy,adj_proj_yoy,export_yoy_used,beta,n_obs,actual_level,actual_yoy,error_level,error_yoy
2026-04-01,2026-06-01,122.906,14.438,-5.406,12.995,0.3798,242,117.1,9.032,5.806,5.406
2026-05-01,2026-07-01,117.188,-0.772,-1.26,2.032,0.38,243,115.7,-2.032,1.488,1.26
2026-06-01,2026-08-01,123.725,8.151,-0.196,5.509,0.3803,244,123.5,7.955,0.225,0.196
2026-07-01,2026-09-01,124.808,9.963,-6.087,17.53,0.3777,245,117.9,3.877,6.908,6.086
